detector,fraction,method,metric,projects,median,q25,q75
hashing,0.5,estimated_weight_no_gate_clip_20,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,0.5,estimated_weight_no_gate_clip_20,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,0.5,unweighted_mondrian,vulnerable_miscoverage,24,0.20431411096548713,0.13079082148392748,0.2946687068881764
hashing,0.5,unweighted_mondrian,safe_miscoverage,24,0.18787675791733763,0.13476629887099256,0.2511538747569097
hashing,0.5,unweighted_mondrian,vulnerable_violation,24,0.10431411096548711,0.03186656782802075,0.19466870688817642
hashing,0.5,unweighted_mondrian,safe_violation,24,0.005163714439076756,0.0,0.0511538747569097
hashing,0.5,unweighted_mondrian,max_relative_violation,24,1.2144066021532403,0.7288305385955343,1.9466870688817641
hashing,0.5,unweighted_mondrian,singleton_coverage,24,0.6793175541216909,0.6612936860917507,0.7129292597502013
hashing,0.5,unweighted_mondrian,review_load,24,0.3206824458783091,0.28707074024979873,0.33870631390824935
hashing,0.5,unweighted_mondrian,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,0.5,unweighted_mondrian,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,0.5,vultriage_full_gate_clip_20,vulnerable_miscoverage,24,0.0,0.0,0.01658096508042337
hashing,0.5,vultriage_full_gate_clip_20,safe_miscoverage,24,0.0,0.0,0.04753958321919487
hashing,0.5,vultriage_full_gate_clip_20,vulnerable_violation,24,0.0,0.0,0.0
hashing,0.5,vultriage_full_gate_clip_20,safe_violation,24,0.0,0.0,0.0007935656836461121
hashing,0.5,vultriage_full_gate_clip_20,max_relative_violation,24,0.0,0.0,0.02288559859680548
hashing,0.5,vultriage_full_gate_clip_20,singleton_coverage,24,0.0,0.0,0.07700597082895852
hashing,0.5,vultriage_full_gate_clip_20,review_load,24,1.0,0.9229940291710415,1.0
hashing,0.5,vultriage_full_gate_clip_20,pr_auc,24,0.18829996467825189,0.14864246771074013,0.2954434568811911
hashing,0.5,vultriage_full_gate_clip_20,brier,24,0.1935714260355828,0.150453493799401,0.23971055808736477
hashing,0.75,estimated_weight_no_gate_clip_20,vulnerable_miscoverage,24,0.09448275862068965,0.051282237032744135,0.1310986842105263
hashing,0.75,estimated_weight_no_gate_clip_20,safe_miscoverage,24,0.21671800301148128,0.15419185856160644,0.22874890021356942
hashing,0.75,estimated_weight_no_gate_clip_20,vulnerable_violation,24,0.003821839080459768,0.0,0.03125309597523219
hashing,0.75,estimated_weight_no_gate_clip_20,safe_violation,24,0.017338928717141683,0.0,0.028757221988881462
hashing,0.75,estimated_weight_no_gate_clip_20,max_relative_violation,24,0.2819336776103145,0.09483141323181098,0.5173158458742952
