detector,target_group,fraction,method,vulnerable_miscoverage,safe_miscoverage,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier
hashing,libtpms,1.0,unweighted_mondrian,0.09724770642201835,0.13805774278215222,0.031743119266055046,0.0,0.3174311926605505,0.3,0.7,0.31485274303072525,0.2040324913287017
hashing,libtpms,1.0,vultriage_full_gate_clip_20,0.0,0.13070866141732285,0.0,0.0,0.0,0.16448979591836735,0.8355102040816327,0.31485274303072525,0.2040324913287017
hashing,libxml2,0.25,estimated_weight_no_gate_clip_20,0.03235294117647059,0.3081912681912682,0.0,0.10819126819126818,0.5409563409563408,0.4236893203883495,0.5763106796116505,0.1782151210336022,0.3048635310868779
hashing,libxml2,0.25,unweighted_mondrian,0.08941176470588236,0.3904365904365904,0.001058823529411763,0.19043659043659042,0.9521829521829521,0.6960388349514562,0.3039611650485437,0.1782151210336022,0.3048635310868779
hashing,libxml2,0.25,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1782151210336022,0.3048635310868779
hashing,libxml2,0.5,estimated_weight_no_gate_clip_20,0.04029411764705882,0.3025987525987526,0.0,0.10259875259875258,0.5129937629937629,0.45916504854368934,0.5408349514563107,0.1782151210336022,0.3048635310868779
hashing,libxml2,0.5,unweighted_mondrian,0.08558823529411765,0.38810810810810814,0.000235294117647058,0.1881081081081081,0.9405405405405405,0.6820388349514563,0.31796116504854366,0.1782151210336022,0.3048635310868779
hashing,libxml2,0.5,vultriage_full_gate_clip_20,0.0058823529411764705,0.05168399168399168,0.0,0.01168399168399168,0.05841995841995841,0.07394174757281553,0.9260582524271845,0.1782151210336022,0.3048635310868779
hashing,libxml2,0.75,estimated_weight_no_gate_clip_20,0.052941176470588235,0.2942619542619543,0.0,0.09426195426195426,0.4713097713097712,0.50873786407767,0.4912621359223301,0.1782151210336022,0.3048635310868779
hashing,libxml2,0.75,unweighted_mondrian,0.08647058823529412,0.3874844074844075,0.000117647058823529,0.18748440748440745,0.9374220374220372,0.6881941747572816,0.31180582524271844,0.1782151210336022,0.3048635310868779
hashing,libxml2,0.75,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1782151210336022,0.3048635310868779
hashing,libxml2,1.0,estimated_weight_no_gate_clip_20,0.075,0.295010395010395,0.0,0.095010395010395,0.475051975051975,0.5679611650485437,0.43203883495145634,0.1782151210336022,0.3048635310868779
hashing,libxml2,1.0,unweighted_mondrian,0.08676470588235294,0.3877338877338877,0.0,0.18773388773388772,0.9386694386694385,0.6907766990291262,0.3092233009708738,0.1782151210336022,0.3048635310868779
hashing,libxml2,1.0,vultriage_full_gate_clip_20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1782151210336022,0.3048635310868779
hashing,linux,0.25,estimated_weight_no_gate_clip_20,0.09740105540897098,0.22814368854103953,0.01797097625329815,0.028143688541039526,0.22389291577290663,0.41027512906164587,0.589724870938354,0.15554576188573305,0.13613487563481816
