detector,alpha_vulnerable,alpha_safe,baseline,method,outcome,projects,nonzero_projects,median_paired_difference,hodges_lehmann_paired_shift,bootstrap_median_ci_lower,bootstrap_median_ci_upper,wins,ties,losses,exact_sign_p,wilcoxon_exact_p,holm_adjusted_wilcoxon_p
codebert,0.05,0.1,unweighted_mondrian,vultriage_ess_only_clip_20,safe_violation,24,12,-0.0012239902080783509,-0.00998613037447985,-0.019205002233139805,0.0,12,12,0,0.00048828125,0.00048828125,0.00244140625
codebert,0.05,0.1,unweighted_mondrian,vultriage_ess_only_clip_20,singleton_coverage,24,24,0.0006436486555177201,-0.007601977841852986,-0.040331491712707224,0.010600706713780883,12,0,12,1.0,0.5838061571121216,1.0
codebert,0.05,0.1,unweighted_mondrian,vultriage_ess_only_clip_20,review_load,24,24,-0.0006436486555176646,0.007601977841853014,-0.010600706713780883,0.04033149171270711,12,0,12,1.0,0.5838061571121216,1.0
codebert,0.05,0.1,unweighted_mondrian,vultriage_infinity_only_clip_20,max_relative_violation,24,21,0.0,0.09650223687860127,-0.19205002233139784,0.3399433427762042,10,3,11,1.0,0.5167608261108398,1.0
codebert,0.05,0.1,unweighted_mondrian,vultriage_infinity_only_clip_20,vulnerable_violation,24,19,0.009896890476577054,0.0154411764705882,0.0,0.0308823529411764,6,5,13,0.1670684814453125,0.044559478759765625,0.1782379150390625
codebert,0.05,0.1,unweighted_mondrian,vultriage_infinity_only_clip_20,safe_violation,24,13,-0.0012239902080783509,-0.00998613037447985,-0.019205002233139805,0.0,12,11,1,0.00341796875,0.001220703125,0.00244140625
codebert,0.05,0.1,unweighted_mondrian,vultriage_infinity_only_clip_20,singleton_coverage,24,24,0.001922529667641143,-0.001578982412829319,-0.025700934579439227,0.010600706713780883,13,0,11,0.8388197422027588,0.8774070739746094,1.0
codebert,0.05,0.1,unweighted_mondrian,vultriage_infinity_only_clip_20,review_load,24,24,-0.0019225296676411152,0.0015789824128292773,-0.010600706713780883,0.025700934579439227,13,0,11,0.8388197422027588,0.8774070739746094,1.0
codebert,0.05,0.1,unweighted_mondrian,vultriage_full_gate_clip_20,max_relative_violation,24,21,0.0,0.07672493870383747,-0.19205002233139784,0.3399433427762042,10,3,11,1.0,0.7079343795776367,1.0
codebert,0.05,0.1,unweighted_mondrian,vultriage_full_gate_clip_20,vulnerable_violation,24,19,0.009896890476577054,0.0123152709359606,0.0,0.0308823529411764,6,5,13,0.1670684814453125,0.18186569213867188,0.20831298828125
