detector,target_group,alpha_vulnerable,alpha_safe,method,vulnerable_violation,safe_violation,max_relative_violation,singleton_coverage,review_load,pr_auc,brier,f1,mcc
codebert,FreeRDP,0.05,0.05,vultriage_full_gate_clip_20,0.3648936170212766,0.0,7.29787234042553,0.5225225225225225,0.4774774774774775,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.05,0.1,estimated_weight_no_gate_clip_20,0.3648936170212766,0.0,7.29787234042553,0.5596846846846847,0.4403153153153153,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.05,0.1,unweighted_mondrian,0.37553191489361704,0.0,7.51063829787234,0.579954954954955,0.42004504504504503,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.05,0.1,vultriage_full_gate_clip_20,0.3648936170212766,0.0,7.29787234042553,0.5596846846846847,0.4403153153153153,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.05,0.2,estimated_weight_no_gate_clip_20,0.3648936170212766,0.0,7.29787234042553,0.6441441441441441,0.35585585585585583,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.05,0.2,unweighted_mondrian,0.37553191489361704,0.0,7.51063829787234,0.6463963963963963,0.3536036036036036,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.05,0.2,vultriage_full_gate_clip_20,0.3648936170212766,0.0,7.29787234042553,0.6441441441441441,0.35585585585585583,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.1,0.05,estimated_weight_no_gate_clip_20,0.4957446808510638,0.0,4.957446808510638,0.6801801801801802,0.31981981981981983,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.1,0.05,unweighted_mondrian,0.5170212765957447,0.0,5.170212765957447,0.7184684684684685,0.28153153153153154,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.1,0.05,vultriage_full_gate_clip_20,0.4957446808510638,0.0,4.957446808510638,0.6801801801801802,0.31981981981981983,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.1,0.1,estimated_weight_no_gate_clip_20,0.4957446808510638,0.0,4.957446808510638,0.7173423423423423,0.28265765765765766,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.1,0.1,unweighted_mondrian,0.5170212765957447,0.0,5.170212765957447,0.7545045045045045,0.24549549549549549,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.1,0.1,vultriage_full_gate_clip_20,0.4957446808510638,0.0,4.957446808510638,0.7173423423423423,0.28265765765765766,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.1,0.2,estimated_weight_no_gate_clip_20,0.4957446808510638,0.0,4.957446808510638,0.8018018018018018,0.1981981981981982,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
codebert,FreeRDP,0.1,0.2,unweighted_mondrian,0.5170212765957447,0.0,5.170212765957447,0.8209459459459459,0.17905405405405406,0.12682293810450482,0.1725428080244578,0.20567375886524825,0.0815284598416891
